id	type	attrs	wkt
CL-C	equipment	kind=closure;serves=[B-2]	POINT(-73.9935996 40.7448070)
CL-D	equipment	kind=closure;serves=[B-3]	POINT(-73.9936446 40.7450566)
CL-E	equipment	kind=closure;serves=[B-4]	POINT(-73.9941677 40.7450461)
CL-F	equipment	kind=closure;serves=[B-5]	POINT(-73.9938109 40.7451277)
CL-G	equipment	kind=closure;serves=[B-6]	POINT(-73.9939418 40.7443668)
CL-H	equipment	kind=closure;serves=[B-7]	POINT(-73.9934634 40.7449791)
CL-I	equipment	kind=closure;serves=[B-8]	POINT(-73.9941944 40.7444735)
CL-J	equipment	kind=closure;serves=[B-9]	POINT(-73.9941080 40.7444370)
CL-K	equipment	kind=closure;serves=[B-10]	POINT(-73.9933498 40.7447019)
CL-L	equipment	kind=closure;serves=[B-11]	POINT(-73.9940258 40.7443611)
drop-CL-A	cable	kind=drop;source=CL-A;target=B-0	LINESTRING(-73.9937836 40.7448845, -73.9938709 40.7447637)
drop-CL-B	cable	kind=drop;source=CL-B;target=B-1	LINESTRING(-73.9939599 40.7449586, -73.9940195 40.7448762)
drop-CL-C	cable	kind=drop;source=CL-C;target=B-2	LINESTRING(-73.9935996 40.7448070, -73.9936428 40.7447472)
drop-CL-D	cable	kind=drop;source=CL-D;target=B-3	LINESTRING(-73.9936446 40.7450566, -73.9935813 40.7451428)
drop-CL-E	cable	kind=drop;source=CL-E;target=B-4	LINESTRING(-73.9941677 40.7450461, -73.9942825 40.7448873)
drop-CL-F	cable	kind=drop;source=CL-F;target=B-5	LINESTRING(-73.9938109 40.7451277, -73.9937340 40.7452325)
drop-CL-G	cable	kind=drop;source=CL-G;target=B-6	LINESTRING(-73.9939418 40.7443668, -73.9938441 40.7445013)
drop-CL-H	cable	kind=drop;source=CL-H;target=B-7	LINESTRING(-73.9934634 40.7449791, -73.9933862 40.7450843)
drop-CL-I	cable	kind=drop;source=CL-I;target=B-8	LINESTRING(-73.9941944 40.7444735, -73.9941245 40.7445697)
drop-CL-J	cable	kind=drop;source=CL-J;target=B-9	LINESTRING(-73.9941080 40.7444370, -73.9940423 40.7445275)
drop-CL-K	cable	kind=drop;source=CL-K;target=B-10	LINESTRING(-73.9933498 40.7447019, -73.9934056 40.7446248)
drop-CL-L	cable	kind=drop;source=CL-L;target=B-11	LINESTRING(-73.9940030 40.7443926, -73.9939400 40.7444793)
